NBAM.bed.name,nbam.id,nbam.name
DO51955_SP114922_NBAM.bed,bf1856ab-f985-5775-ad9c-ab5bcd57f8d0,c4b27bf38db83f24f48cc887fb811a9f.bam
DO51956_SP114928_NBAM.bed,2b3590ff-ccab-5717-acb5-d5b4c09b9e26,838c0b4f768ce8c9574a7c96ede0d14d.bam
DO51958_SP114939_NBAM.bed,2daacb4a-c1eb-5191-9da0-ba16e0210152,e0316b097b1f6aea188120768695fd9c.bam
DO51959_SP114947_NBAM.bed,3a37be77-ed5e-52de-9302-ff311bae3530,95bf9ae68444e5e14976fbbe79dc466a.bam
DO51960_SP114955_NBAM.bed,887a5cd6-5627-52b2-9c8f-a5b80279baef,1e0f91f6e9ad08d52ac02fbe3b1c52aa.bam
DO51962_SP114964_NBAM.bed,da0ff549-e974-5421-a447-8bb1b346b216,80ef4d60f34891fa9e3a3d92bd4c788e.bam
DO51964_SP114972_NBAM.bed,4d1f5a08-24b5-5b88-a415-60d0dcc19e52,50578ce4f5a4c8ce5ece03f282dc399d.bam
DO51965_SP114989_NBAM.bed,ab37ff7b-d162-50f4-9a6b-aac164becafd,66975c233b17512844f52ecc2860744a.bam
DO52502_SP116238_NBAM.bed,822befda-6125-5739-9d47-a3a902094773,ef5b4e976201f4f9115a647efa6e2bc0.bam
DO52503_SP116239_NBAM.bed,cef8c628-8460-51e4-b920-673c9dfdf5af,bc34cb9d887dda3e69a8f13563d429be.bam
DO52509_SP116245_NBAM.bed,6a558401-5dcc-5b14-a410-60381b63410d,f7f4bbaf8b4a063f38a4f2e560f1621d.bam
DO52510_SP116246_NBAM.bed,040e973c-dccc-5c4d-97ca-a05df53dc0af,814fca053582d3e877784fe024977a06.bam
DO52511_SP116300_NBAM.bed,b899bdeb-1495-50a4-b081-c2fb11bbbe23,256ce65faabf194ee34d301189df0943.bam
DO52512_SP116302_NBAM.bed,2174fc6f-2d6e-5887-b3e6-12a64b9025da,053d5013662f111e4abf59194329fc6a.bam
DO52513_SP116304_NBAM.bed,1e12fe99-3ddd-5504-bb15-0b16fa2ab4d6,6c64969f3dc95da97601c7b7359d58fc.bam
DO52514_SP116306_NBAM.bed,65f124ed-049a-566c-8f34-e5dfeaa2ac48,8fe54c0e40d5f7feacd9f0456661fca9.bam
DO52726_SP116785_NBAM.bed,6a66d4ac-b23f-5d80-9ebb-7dba27a42b55,333edfc0c520ed7a74eefa39be4b8537.bam
DO52727_SP116787_NBAM.bed,ba2c9266-bf72-54a3-a1d2-650f5e0d8667,0490a71a0bec2f839848c45fa4a053e4.bam
DO52729_SP116792_NBAM.bed,ae9efbbc-7aac-5b4c-addb-53681c5c8d17,75b2367efd96138cde830939f6e3fae8.bam
DO52731_SP116796_NBAM.bed,207aab79-43a3-51b6-ab99-409e3a339740,b2bd8ba14b3f929145cb23c1c1f2df3b.bam
DO52732_SP116800_NBAM.bed,114dff28-fe07-5d60-bb04-e45c4856e9c1,f7f59f89f5696b1156af4384b76ebd60.bam
DO52733_SP116805_NBAM.bed,94a1d0a0-4e90-5b5f-9ddc-c2d8e539c165,774a2b0d29af0d2befd2fd0569ed63dd.bam
DO52735_SP116814_NBAM.bed,01279cff-e501-5dcd-afc9-cd40ae4abf80,2446a534be603664cccd374ee3fb7040.bam
DO52736_SP116816_NBAM.bed,c4600509-014f-5cfc-b29a-a3e46319df8d,a79828259eafa5c5eb8f97a4dcd49270.bam
DO52737_SP116822_NBAM.bed,8a010ddd-e049-5d2c-9da1-31b37030b86c,e901613c7f72e6b848d618d13bc3354b.bam
DO52738_SP116827_NBAM.bed,7b8548d0-d637-5ce5-beaa-53347d5c10dd,702e1807071840c05e8288722dd9c9ba.bam
DO52739_SP116833_NBAM.bed,0a84c77a-510c-5d5e-904b-723464025c76,6a40a6df68474d9357bacc988ea3e30e.bam
DO52740_SP116836_NBAM.bed,6943479e-dd38-511c-8432-9dc4cebdc47e,6fd028f97b3b14fcf23e244de7571fcb.bam
DO52742_SP116845_NBAM.bed,02f3b5a7-4d3e-5d2f-a9e4-eb8cc6f72307,8e774ff961c0fc8f6a17bcb45836040d.bam
DO52743_SP116850_NBAM.bed,08d887b7-d242-54f0-88a5-2d3fb9222cda,3c61eb4c73a5b5710d6025bf01d25b58.bam
DO52744_SP116855_NBAM.bed,02631b21-d361-5e08-8302-084fa948d434,54bdd68a4407515b949cc2b2853a49af.bam
DO52745_SP116859_NBAM.bed,03d675cc-acff-5385-ac56-f030f503d424,63237073df10124ad350ac62a9dc306c.bam
DO52747_SP116864_NBAM.bed,b9c743d3-a6c3-5d5a-bbd6-f813f6618f7d,81696ddfb02a0ec79fa08fb51f16b8a0.bam
DO52749_SP116870_NBAM.bed,1cde4916-afa1-5c16-9699-f8ae3d209069,200619fca3bee8f2642251de80378853.bam
DO52750_SP116874_NBAM.bed,3906cb0f-439c-5f25-9a01-51768f36dc3f,f6baa36f639eacbc8300732228f4f4bb.bam
DO52751_SP116879_NBAM.bed,966b2c06-06b2-5cf8-ac14-8647a682aaab,1505a1e784d49bc0ee8de67354aa76cf.bam
DO52752_SP116887_NBAM.bed,142fed3b-99f1-549a-aad3-02eb00be631d,6ad01fc4771bb0500a2b6b413f75da60.bam
DO52753_SP116890_NBAM.bed,186d1e09-b474-51c8-9c2b-0ca41554a4a9,9df0b7c3e11211d908371a5b838ffb26.bam
DO52754_SP116894_NBAM.bed,e89a0321-fa7c-5bfd-9ca8-1f897df11569,e37336db53cc3a2f22ef479ec5c9d1ff.bam
DO52756_SP116899_NBAM.bed,ca99e587-3f76-556e-b367-11c9c4ce5804,6cd0effe8994fb46265241a126281cc9.bam
DO52757_SP116903_NBAM.bed,6e46f736-60bd-5ab6-a994-3d136c3617db,31ac589684b6eadd81fde6fe78a942fd.bam
DO52758_SP116907_NBAM.bed,d1bffea9-3b64-5af8-b96f-f6c950fa3c00,e7362f06bf52811cfa28fc209fd429d8.bam
DO52760_SP116912_NBAM.bed,283644cc-a027-5296-b54c-301c363c8c17,cfbac285540eb53f629b9abb60b5d12c.bam
DO52762_SP116922_NBAM.bed,71db93fc-24af-5954-982c-bed91ffdbef0,0f5866b4dc59eafd14da91cc9a9ae863.bam
DO52763_SP116926_NBAM.bed,2ae2b9e9-70eb-5a43-b2a1-42b24f26141b,b97bb9d6e767b830717e65d82e53e7dc.bam
